run_id	Lift curve.Positive rate	Lift curve
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.38125	61
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.3875	62
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.39375	63
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.4	64
9e9f0c7f-81c2-4e0b-98f9-91ba3e52c8ab	0.40625	65
